Gene Name	Reference	Strand	Start	End	Y-HSC_1	Y-HSC_2	A-HSC_1	A-HSC_2	Y-MPP1_1	Y-MPP1_2	A-MPP1_1	A-MPP1_2	Y-MPP2_1	Y-MPP2_2	A-MPP2_1	A-MPP2_2	Y-MPP3_1	Y-MPP3_2	A-MPP3_1	A-MPP3_2	Y-MPP4_1	Y-MPP4_2	A-MPP4_1	A-MPP4_2	
Zw10	chr9	+	49055581	49078773	13.325247	12.782735	12.324887	11.352132	15.042082	14.741353	19.733641	19.166861	20.059256	21.681486	22.852083	23.010807	15.626175	16.157875	18.077471	18.778479	16.582619	16.680176	19.560404	19.679859	
Zufsp	chr10	-	33926936	33951212	7.2393	6.031378	8.06205	4.353904	6.321434	7.462859	4.855056	5.110804	5.46681	4.880965	4.242786	4.352203	6.026888	5.278379	4.845727	4.424026	6.919536	6.556787	4.483621	4.645761	
Zswim8	chr14	+	20707552	20723619	3.699535	3.408588	4.630889	4.549965	4.453354	4.595939	4.003361	3.429767	4.002752	4.028756	3.290907	2.934736	4.317379	3.099583	2.986958	1.927543	5.976254	3.552783	3.844817	2.714369	
Zswim7	chr11	-	62267224	62281395	13.792253	16.105591	13.313308	16.078573	10.226088	10.653628	10.313008	12.893909	9.341298	8.868458	10.403779	9.546647	9.19055	9.622812	9.749965	8.31997	9.754905	11.656824	8.673102	9.688986	
Zswim6	chr13	-	107724617	107890064	0.581655	0.597998	0.655661	0.804834	0.360427	0.415338	0.313274	0.303908	0.293848	0.440042	0.25631	0.305471	0.658969	0.208752	0.433149	0.130634	0.375348	0.12802	0.300265	0.104838	
Zswim5	chr4	+	116877402	116989105	0.418296	0.561591	1.281779	2.045626	0.09941	0.152362	1.074906	0.857924	0.047273	0.088966	0.330516	0.199306	0.065317	0.096939	0.425384	0.055046	0.164969	0.035309	0.261293	0.042409	
Zswim4	chr8	-	84210942	84237042	17.468056	15.902082	13.018927	12.956724	16.505644	13.350585	11.617473	10.410826	11.138342	10.630041	8.71707	8.658855	11.727148	14.315237	7.865495	9.691488	15.275208	14.12744	9.187628	8.082594	
Zswim3	chr2	+	164805114	164822127	5.719423	4.629274	5.191036	6.099973	4.056934	3.669606	3.83678	4.132585	2.941286	3.615855	3.138102	3.580505	2.578221	3.58179	3.008535	3.601705	2.64883	3.614262	2.469203	2.936584	
Zswim2	chr2	-	83915079	83941226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zswim1	chr2	+	164822686	164826867	10.761597	10.950974	6.815042	10.923282	9.160011	9.633776	8.342597	8.996505	9.469086	8.977254	8.752477	9.059341	8.200239	10.389163	9.092429	8.072965	8.551384	8.772094	9.094014	9.40616	
Zscan5b	chr7	+	6222278	6239412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan4f	chr7	+	11397915	11402318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan4d	chr7	-	11161643	11166148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan4c	chr7	+	11005745	11010547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan4b	chr7	-	10900740	10905050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan4a	chr7	-	10794241	10799065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zscan29	chr2	-	121158273	121171125	6.428574	8.574286	5.768925	5.311963	8.388495	8.868757	5.386024	5.967254	7.913391	6.64826	5.709929	5.341043	7.540846	8.399197	6.131835	6.59022	8.31733	7.432934	5.255588	5.780568	
Zscan26	chr13	-	21442175	21453727	3.121163	3.632185	3.472793	2.505379	2.737679	3.028608	2.304614	2.036015	2.377471	2.063291	1.89643	1.408634	2.776845	2.61839	1.589236	1.244009	2.554656	2.72383	1.695161	1.843802	
Zscan25	chr5	+	145283343	145291469	0.618535	0.195722	0.303431	0.191612	0.14933	0.205711	0.137674	0.095519	0.369845	0.060139	0.181984	0.05389	0.152037	0.228871	0.098118	0.223261	0.091836	0.127297	0.309099	0.143339	
Zscan22	chr7	+	12897809	12909083	13.791344	11.522903	10.071962	10.0795	10.934921	10.606842	11.435349	11.601634	11.006804	10.951039	10.199035	10.361636	10.23463	10.930936	9.474132	10.926988	9.169601	8.771632	9.694054	9.792367	
Zscan21	chr5	+	138116905	138134265	12.037182	12.792386	9.517561	9.698925	13.457564	12.545939	13.234196	14.19916	14.01264	13.269575	15.980576	15.368548	12.780832	12.926517	14.76686	15.4413	15.391806	12.834703	12.582447	14.631862	
Zscan20	chr4	-	128583539	128610098	1.956976	2.129704	2.101078	1.535596	1.617049	1.716765	1.398387	1.439909	1.867741	1.330832	1.092281	1.501748	1.859267	1.773661	1.211033	1.039688	1.939933	1.608133	1.378355	1.363415	
Zscan2	chr7	+	80862108	80876513	1.759078	1.464794	0.937538	0.88432	1.043089	0.822195	0.427409	0.643383	0.781246	0.603863	0.399281	0.588565	0.89954	0.799347	0.765569	0.571818	0.93932	0.666889	0.43696	0.350434	
Zscan18	chr7	-	12768092	12775658	1.575306	1.616081	1.686097	0.979421	1.149072	1.020772	0.875739	1.156765	0.94549	1.066246	0.955531	0.898601	1.081835	0.954197	0.778622	0.704615	1.25949	1.173724	0.826441	0.725912	
Zscan12	chr13	+	21362820	21372302	3.159343	2.141142	2.525627	1.990441	2.526584	3.145281	2.324184	2.450757	2.299352	2.826142	1.964807	2.335285	3.086365	2.379461	1.948673	2.48804	2.426205	2.453816	2.287558	2.04983	
Zscan10	chr17	+	23600826	23611019	0	0.061217	0.073695	0.075117	0.065389	0	0.044656	0	0	0	0.040865	0	0.107409	0.071585	0	0	0.075523	0.185803	0.064452	0.062766	
Zrsr2	chrX	-	163935443	163958666	5.6176	4.950639	4.770932	4.814034	5.436769	4.614957	4.297578	4.586812	4.741063	5.521755	4.181313	3.933632	4.80534	5.411062	3.687866	4.045755	6.890244	6.110349	4.863599	5.56841	
Zrsr1	chr11	+	22972005	22976496	0.722445	0.521808	0.433987	0.535379	0.690083	0.680149	0.29885	0.278914	0.383381	0.467644	0.286134	0.20354	0.392165	0.377735	0.37723	0.515865	0.66457	0.424229	0.327016	0.165175	
Zranb3	chr1	-	127954179	128103047	2.555649	3.904227	4.009225	3.640071	7.508018	5.2703	7.713727	7.324987	9.044762	8.766703	8.508819	9.067535	5.340937	6.489275	7.492277	7.933298	8.270048	7.143635	8.169686	8.055256	
Zranb2	chr3	+	157534397	157548339	19.946432	21.861229	25.580265	18.697453	25.405594	27.742598	28.084291	27.559328	25.959879	27.7013	26.915846	30.7773	25.892279	26.120192	27.210073	37.145134	23.57345	30.228039	28.7173	29.690952	
Zranb1	chr7	+	132949622	132983951	15.477839	11.574543	13.390569	9.967056	14.706482	13.920812	12.092139	12.342463	14.423438	16.198282	13.499622	14.578018	15.868379	13.210208	12.538131	11.289804	16.070932	12.548956	12.081781	10.997585	
Zpr1	chr9	+	46273064	46282642	34.071537	33.82663	33.727749	35.288219	32.687309	35.380798	31.965992	32.268749	31.586191	34.491821	32.941967	35.626377	31.847273	33.021732	34.891273	38.459099	30.654991	31.992733	35.267788	37.574615	
Zpld1	chr16	-	55225175	55283237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zpbp2	chr11	+	98551097	98558665	0.172174	0.306454	0.163965	0.633927	0.072742	0	0	0.099707	0.233495	0	0.306863	0	0	0	0.100052	0	0	0	0	0	
Zpbp	chr11	-	11280040	11462419	1.688578	1.66388	1.520864	0.873064	1.57711	2.31088	1.341979	1.434458	1.762381	1.284567	1.192465	1.009646	1.568918	1.316878	1.041376	1.156225	1.675143	1.817507	0.879625	0.912713	
Zp4-ps	chr13	+	11522052	11525682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zp3r	chr1	-	130576706	130629606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zp3	chr5	+	135980105	135988624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zp2	chr7	-	120132361	120145290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zp1	chr19	-	10914296	10920601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Znrf4	chr17	-	56511248	56512483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Znrf3	chr11	-	5276329	5444847	2.224831	1.963498	1.664086	2.191638	2.217514	2.083712	1.906707	2.032708	1.833872	1.761089	1.337468	1.688622	1.83503	1.137541	1.499789	0.668398	2.980558	1.028474	1.757096	0.758906	
Znrf2	chr6	+	54816916	54890224	22.104681	24.367989	22.574591	18.427477	32.499493	28.402351	24.204521	25.155041	31.921333	29.53105	27.515854	27.440105	33.808403	12.61087	34.299427	12.279151	35.929241	13.676133	30.937044	13.324119	
Znrf1	chr8	+	111536640	111626030	34.231701	33.61636	40.80682	50.170395	40.501694	37.411701	39.558212	39.250713	32.814274	32.361	32.687447	31.411217	41.078781	41.531673	35.795502	34.227646	50.617214	47.088181	42.850403	42.553791	
Znrd1as	chr17	+	36958592	36965623	3.901698	3.598715	3.316819	3.576267	3.477907	2.82656	2.436598	2.453242	2.61139	2.702992	1.601565	2.697387	2.886527	3.005879	2.573638	2.121459	2.369641	2.68627	1.683964	2.531108	
Znrd1	chr17	-	36954358	36958428	52.297604	60.510887	48.981339	57.918018	44.925201	45.709843	45.573994	43.983479	45.159626	43.983105	43.022976	44.08839	41.372513	38.655548	44.485119	43.846798	36.611362	45.031258	43.232182	41.262657	
Znhit6	chr3	+	145576208	145605245	11.090101	10.666732	12.415079	10.216449	11.41885	11.848379	10.588321	11.6576	10.168351	11.889596	10.88725	10.878243	10.672148	10.93328	10.06603	13.633753	10.997737	11.652337	10.109507	11.893373	
Znhit3	chr11	-	84910955	84916356	16.147879	23.827963	20.640604	22.42066	20.176085	22.822018	27.717833	23.952297	23.392578	23.691011	29.845093	24.837742	22.0378	18.986317	29.714611	25.994217	21.686155	24.102104	26.32966	24.510456	
Znhit2	chr19	+	6061207	6062468	23.105215	25.217072	23.742601	27.579523	17.275196	19.301594	21.026318	21.187834	20.957817	20.980394	21.669115	22.296474	19.92724	20.951254	24.357435	23.335249	18.558048	22.885099	26.795095	24.164684	
Znhit1	chr5	-	136982201	136987882	18.036983	21.998989	20.251911	24.510603	16.657236	17.348427	18.393766	20.522438	16.0725	17.157484	17.407534	20.546303	16.26046	19.257887	19.674553	21.923483	16.643089	19.686251	20.76848	21.345985	
Znfx1	chr2	-	167035796	167063015	8.570304	8.246874	8.611301	6.023107	7.005132	6.049691	5.387786	4.232227	4.990928	4.459113	2.471646	2.801208	4.880054	5.229179	2.576622	3.129953	5.45163	5.153139	4.520105	2.834997	
Znf512b	chr2	-	181582103	181592461	13.494395	11.09247	11.671844	10.025433	14.207998	13.257229	10.612093	10.840717	10.50903	10.468455	7.09937	7.980786	10.858792	10.733274	8.661248	7.687745	13.774679	12.237675	9.63763	9.182457	
Znf41-ps	chr4	+	145789515	145831978	2.831699	2.315186	4.938677	2.772905	3.958414	3.796464	2.648572	1.576906	1.404922	1.469336	1.130764	2.982747	2.752325	2.319079	1.18016	1.439418	1.578741	3.615154	2.918115	2.833152	
Zmynd8	chr2	-	165784152	165884838	17.427851	14.991381	17.231615	17.361113	18.450186	16.682514	13.832938	14.81833	15.896484	16.330492	12.949747	11.744435	15.991861	17.824217	12.379703	13.260135	19.984081	17.931124	14.219866	14.17177	
Zmynd19	chr2	+	24949802	24959413	16.767874	14.543795	17.243652	19.037756	24.291344	23.428215	29.770714	27.769796	27.937317	23.829531	30.088079	29.863676	29.985746	27.136404	34.953678	26.886511	30.609674	24.874424	34.485699	33.374931	
Zmynd15	chr11	+	70459622	70466199	0.125935	0.099623	0.071958	0.480176	0.042565	0	0.102169	0.077791	0	0	0	0	0	0.038915	0	0	0	0	0	0	
Zmynd12	chr4	+	119422684	119453899	0	0	0	0.10891	0.079219	0	0	0.180974	0	0	0	0	0	0	0	0	0	0	0	0	
Zmynd11	chr13	-	9684836	9765314	33.779015	25.386234	32.112595	27.414791	36.943546	36.638908	33.399963	30.697718	33.959278	33.204357	28.037952	29.162918	33.555725	32.360855	28.085842	28.935881	35.14455	32.180424	26.910723	28.162085	
Zmynd10	chr9	+	107547310	107551319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zmym6	chr4	+	127077383	127124374	4.307756	4.577875	4.25861	3.711609	6.134897	6.759414	4.750813	4.412465	4.263025	4.093812	2.983266	2.596534	5.17573	5.518007	3.577293	3.765142	5.712996	5.29249	1.972646	2.810277	
Zmym5	chr14	-	56790585	56811716	6.371415	6.657522	6.621363	5.25224	6.730619	7.304424	6.074214	5.391352	6.410718	6.123662	4.643229	5.355542	6.240207	7.094508	4.63982	4.483596	5.527201	6.282055	3.588251	4.36695	
Zmym4	chr4	-	126861820	126967923	10.641799	10.356139	9.0164	7.759355	12.860621	11.888663	11.509665	12.223621	12.325747	11.444429	11.072983	10.830565	10.302077	9.25609	9.753444	9.716912	11.071595	9.942057	9.742192	9.865398	
Zmym3	chrX	-	101404384	101420685	8.846059	11.317607	12.704965	7.256662	17.17086	16.074547	13.643333	13.899613	12.00495	16.92012	10.767838	14.501898	13.751332	12.909451	10.176202	13.189247	17.084497	10.579806	14.165889	15.406401	
Zmym2	chr14	+	56887795	56962579	8.693875	7.469018	9.055965	5.377848	9.912375	9.757154	8.523869	7.837907	8.750709	9.24183	7.014246	7.62839	9.343191	8.741484	8.179798	7.595064	11.016753	9.77169	7.793993	8.039845	
Zmym1	chr4	-	127047094	127061132	5.275473	4.776697	5.891792	3.305369	7.388824	7.127356	7.558087	7.627235	8.117156	6.844776	9.438546	8.666921	6.981756	6.944196	9.888914	8.791878	7.606043	7.194212	8.951494	9.584336	
Zmpste24	chr4	-	121059238	121098243	30.421122	29.924067	38.13813	26.618502	35.070889	33.634804	37.928722	38.655819	32.688427	33.580444	39.689262	38.920242	33.274441	31.633495	38.659035	33.495007	28.783173	29.890482	36.184616	32.680645	
Zmiz2	chr11	+	6395125	6406162	37.858208	37.505627	39.624027	45.293087	48.6982	44.125862	46.027809	44.601227	45.847019	42.971478	41.469208	43.393177	43.090794	27.700974	42.241299	27.052105	47.861549	29.729481	46.493977	34.407974	
Zmiz1	chr14	+	25459185	25666747	20.049311	19.535866	18.956587	19.267191	25.988432	23.255503	19.462944	21.172497	25.926487	23.973986	18.195013	19.32873	26.093943	23.751089	23.169722	18.728947	46.126953	34.670784	36.315636	32.055691	
Zmat5	chr11	+	4704678	4737666	42.832676	42.272472	34.115929	42.298962	30.094639	32.310753	28.093714	32.729912	27.388781	33.168774	28.501741	29.559969	30.385426	29.447027	31.316822	33.283108	32.103203	40.252934	33.924526	32.348976	
Zmat4	chr8	+	23669661	24063116	0	0	0	0	0	0.027764	0	0	0	0	0	0	0	0.046273	0	0	0	0	0	0	
Zmat3	chr3	-	32334794	32365665	0.378488	0.175343	0.290025	0.542189	0.340246	0.251147	0.284983	0.249955	0.231817	0.305222	0.154034	0.162752	0.219008	0.236343	0.203056	0.16492	0.318806	0.323646	0.112796	0.160908	
Zmat2	chr18	+	36793923	36799660	25.196709	28.003231	25.235111	31.68013	24.846481	25.822908	25.37986	26.129972	22.975048	27.110407	27.404289	28.67173	26.79888	26.260529	25.115522	30.52639	24.354799	23.337095	27.643478	28.304905	
Zmat1	chrX	-	134971373	135009209	4.088297	3.95132	4.9805	3.22886	3.771376	3.55437	3.486497	3.32831	2.959736	2.513487	2.456753	2.811444	2.88481	3.123634	2.369772	2.798974	3.087849	3.934945	2.34832	2.466827	
Zkscan8	chr13	-	21513221	21531114	2.569591	2.664997	2.761576	3.355509	3.175633	2.885287	3.014444	3.004072	2.73704	3.01912	2.43032	2.574553	2.963606	2.759629	2.577684	1.572748	2.863238	3.794911	2.347525	2.215522	
Zkscan7	chr9	+	122888471	122896124	1.99415	1.832627	1.524552	1.588001	1.844385	1.215099	1.258993	1.399353	1.333517	1.108111	1.253692	1.036511	2.093875	1.617373	1.115471	0.820897	3.031575	2.65653	1.164283	1.592321	
Zkscan6	chr11	+	65807175	65829239	17.304529	16.536528	15.999169	17.640316	13.568244	13.131427	11.63482	13.233961	12.371392	10.902114	10.360501	11.133509	12.222859	13.180204	10.404897	11.509955	12.226558	13.671117	9.839084	10.274172	
Zkscan5	chr5	+	145204559	145221750	7.017679	5.695265	5.158123	4.415776	6.769799	5.6295	4.575259	5.913076	5.122925	5.341201	5.38335	5.354414	4.425674	5.171434	4.476455	4.528141	4.868085	4.883777	4.29842	4.098288	
Zkscan4	chr13	+	21478849	21485505	3.231548	3.044935	3.521988	2.875319	2.445425	2.521053	2.237761	2.367674	2.045166	1.942992	1.558631	1.554972	2.20682	2.074392	1.702619	1.463654	1.960427	1.668209	1.291917	1.36878	
Zkscan3	chr13	-	21387004	21402755	27.584417	29.644363	28.246046	25.448099	26.265745	25.470524	21.936745	22.894281	23.134279	22.110853	19.240528	18.14542	24.7547	24.852427	19.51166	18.816166	26.080076	25.161118	18.007849	20.051107	
Zkscan2	chr7	-	123478639	123500449	0.15417	0.411807	0.220228	0.04776	0	0	0.093414	0.05952	0	0.039348	0.085485	0.047013	0.025679	0	0	0	0	0	0	0	
Zkscan17	chr11	-	59485521	59506640	19.811771	17.869904	18.064257	18.849306	25.034786	22.486439	23.53969	24.320789	25.787924	26.233809	26.095711	26.136078	21.644522	24.656258	24.382696	24.435553	24.653652	22.12953	24.239908	25.426186	
Zkscan16	chr4	+	58943628	58958355	0	0	0	0	0	0	0.043712	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zkscan14	chr5	-	145194946	145201882	9.567882	11.548624	10.123458	8.786634	8.504041	9.959743	8.013178	7.607266	8.214648	7.95806	6.581763	7.250197	9.557842	8.637222	7.101532	7.695326	10.683425	9.486504	6.602525	6.717164	
Zkscan1	chr5	+	138085084	138107822	10.061882	10.365205	10.767013	7.454638	12.449805	11.981803	10.099065	10.961513	10.868958	9.935078	8.815289	8.58331	10.45829	9.760447	8.6151	7.840642	10.100713	9.785854	7.848011	8.432651	
Zim3	chr7	-	6955686	6976662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zim2	chr7	-	6651748	6662368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zim1	chr7	-	6675443	6696432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zik1	chr7	-	10487224	10495381	2.928991	3.142426	3.462888	3.285021	4.480543	4.569022	5.682591	4.82191	4.5292	4.009841	4.573591	5.428521	4.667797	3.310802	4.17322	4.139773	3.58837	3.938691	2.937448	3.441077	
Zic5	chr14	-	122459160	122465658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zic4	chr9	+	91368972	91389348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zic3	chrX	+	58030628	58036630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zic2	chr14	+	122475384	122480328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zic1	chr9	-	91360345	91365799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zhx3	chr2	-	160770447	160872990	1.543506	2.753268	2.123931	1.609829	2.620468	1.637952	1.772459	2.055104	2.179022	2.351822	1.722171	1.752736	2.19427	1.814584	1.507675	1.519689	2.734923	2.282795	2.065066	1.716837	
Zhx2	chr15	+	57694667	57839832	1.709675	2.165445	2.280443	2.036071	1.363111	1.624605	0.977512	0.946493	1.210579	0.878189	0.84323	0.565614	1.208906	0.878054	0.557782	0.692791	0.957894	0.697078	0.577642	0.562527	
Zhx1	chr15	-	58047003	58076508	23.379303	20.688955	23.260475	14.124175	29.875673	26.316402	23.612453	25.994898	27.191479	28.13431	23.611147	25.372261	28.194099	29.178438	23.47484	26.177818	28.51264	27.453018	20.84618	24.671179	
Zgrf1	chr3	+	127553489	127618023	0.725154	0.846342	1.148135	0.846287	2.276493	1.919585	2.669038	2.680891	3.140106	2.666978	3.121966	3.167404	1.909045	2.265954	2.952188	2.626615	2.283163	2.34855	2.345581	2.774305	
Zgpat	chr2	+	181364931	181380793	29.176552	29.576536	22.062422	28.470245	24.852539	23.328259	20.060749	19.798771	18.290936	19.618166	15.830854	14.867582	21.904064	24.105831	16.753954	18.319424	24.632496	21.553366	16.695896	16.79249	
Zglp1	chr9	-	21062393	21067093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zg16	chr7	-	127050156	127051977	0	0.350997	7.390997	10.176361	0	0	0	0	0	0.283107	0	0	0	0	0	0	0	0	0	0	
Zfyve9	chr4	-	108639259	108723876	0	0.231464	0.278645	0.201425	0	0.343127	0.112564	0	0	0	0	0	0	0	0	0	0	0	0	0.079107	
Zfyve28	chr5	-	34194894	34288324	0	0.070111	0.185686	0.12355	0.044934	0	0	0	0.048078	0.04524	0	0	0.132858	0.163973	0	0	0.25635	0.383043	0	0.057509	
Zfyve27	chr19	+	42170567	42194592	13.923729	13.399846	11.69851	12.8098	12.226366	12.563046	9.191489	9.372192	9.971042	9.53119	7.501372	8.076982	10.958634	11.199526	8.244285	8.746882	11.692049	9.606527	6.912157	7.866265	
Zfyve26	chr12	-	79232347	79296282	1.683254	1.293642	2.326353	1.540301	2.369632	1.873627	2.252819	2.011323	2.538708	1.782161	1.666612	1.813612	1.951216	1.92784	1.929813	1.557418	2.793256	1.71223	1.995302	1.460756	
Zfyve21	chr12	+	111814170	111828388	20.042536	28.245138	20.82206	24.181231	15.76926	15.215943	13.734412	12.723566	11.902951	10.353611	10.649796	10.140685	10.827418	9.909537	9.547739	9.933084	6.756495	7.971673	6.997173	7.19701	
Zfyve19	chr2	+	119208720	119217050	18.330814	19.02343	17.498178	19.635542	17.494076	17.277386	16.747854	17.019367	18.188904	17.263397	15.902872	17.548752	18.612679	20.908503	18.475336	23.320452	22.106001	24.675833	18.259459	21.166254	
Zfyve16	chr13	-	92487749	92530810	2.785721	1.535565	3.661489	1.74233	2.559041	2.141954	2.588014	2.126579	2.245939	2.257354	1.804336	2.50594	2.462496	2.556689	2.145794	2.00613	1.977255	2.704538	1.646548	1.461898	
Zfyve1	chr12	-	83546941	83597147	6.389583	7.476732	6.417748	4.715687	6.301765	6.010272	4.827617	4.490855	5.308672	5.367401	4.153322	4.506112	6.071236	6.435991	4.352414	3.628143	7.24678	5.508239	4.45285	4.300312	
Zfy2	chrY	-	2106175	2170409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zfy1	chrY	-	725207	797409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zfx	chrX	-	94074631	94123407	10.604369	9.427038	10.166628	6.54686	11.654496	11.224187	9.346003	10.465522	10.937665	10.155358	9.649058	9.567525	10.877374	11.128927	9.548906	9.121949	10.342256	10.053685	8.518293	8.201598	
Zfr2	chr10	+	81233163	81252123	2.132003	3.476139	2.584689	3.15593	1.874378	1.793184	0.785944	1.059788	0.840007	0.602104	0.133812	0.112684	1.037539	1.132935	0.34358	0.231195	0.953584	1.597063	0.211044	0	
Zfr	chr15	+	12117851	12185449	30.969765	26.509304	27.426111	22.754171	28.656433	29.348816	22.326645	24.488613	26.477802	24.830412	20.592422	21.401665	26.953529	28.668106	19.82641	24.950819	25.128746	27.737337	19.243689	21.063341	
Zfpm2	chr15	+	40655042	41104592	0.056734	0	0	0	0	0	0	0	0	0.024133	0	0	0	0.039361	0	0.035836	0	0	0	0	
Zfpm1	chr8	+	122282141	122337247	106.900658	104.182175	86.66156	111.186745	100.48745	95.824295	70.175705	66.996384	93.667992	91.018646	57.742355	59.730541	57.434418	26.427546	36.132347	15.9127	35.744797	16.595068	23.256329	11.604988	
Zfpl1	chr19	-	6080763	6084891	50.52721	54.813679	41.338783	50.918926	35.236942	38.571579	32.333477	34.456982	34.633656	33.269695	32.135082	31.321911	33.875732	35.151371	32.290646	32.092766	36.222424	37.014603	31.477438	33.671711	
Zfp97	chr17	+	17121383	17146878	3.326482	2.671766	3.585997	2.262191	3.176662	2.663436	2.247338	2.373219	2.220562	2.117622	1.85656	1.742575	2.324881	2.862163	2.206301	2.186655	2.686933	3.336673	1.933445	1.643542	
Zfp964	chr8	+	69654556	69664453	1.621799	1.313428	1.814754	0.949026	1.409024	1.337331	0.772099	1.429884	0.769797	0.810117	0.481751	0.396779	0.67532	0.842597	0.430169	0.717103	0.511689	0.848252	0.337692	0.259571	
Zfp963	chr8	-	69741639	69749962	2.696499	2.83225	2.140754	2.59987	2.367415	2.179189	1.932468	2.212055	1.579499	1.833833	1.414763	1.314634	2.50766	2.008249	2.035205	1.374555	2.052088	2.23244	1.30802	1.548533	
